Manufacturer	Model	FAA Code	MTOW	Approach Speed	Wingspan	Tail Height	ARC
Adam Aircraft Industries	A500	A500	7000	98	44.00	9.58	B-I
Aero Spacelines	B-377	SGUP	170000	123	156.25	48.50	C-IV
Aeronca	11AC Chief	AR11	1250	64	36.00	6.00	A-I
Aeronca	15AC Sedan	AR15	2050	67	37.50	10.33	A-I
Aerospatiale	ATR-42-320	AT43	36817	124	80.58	24.92	C-III
Aerospatiale	ATR-42-500	AT45	41005	128	80.60	24.90	C-III
Aerospatiale	ATR-72	AT72	48501	128	88.75	25.00	C-III
Aerospatiale	NORD-262	N262	23810	96	74.17	20.40	B-II
Aerospatiale	SE 210	S210	110200	127	112.50	28.58	C-III
Aerospatiale	SN 601 Corvette	S601	14550	118	42.25	13.92	B-I
Aerospatiale	Concorde		408000	190	83.83	37.10	
Aerostar Aircraft Corp	700	AEST	6315	94	36.70	13.20	B-I
Aerostar Aircraft Corp	602P	AEST	6000	94	36.71	12.13	B-I
Aerostar Aircraft Corp	601P	AEST	6000	94	36.71	12.13	B-I
Air Tractor	AT-301	AT3P	3492	76	45.15	8.50	A-I
Air Tractor	AT-402B	AT3T	9170	69	51.00	9.50	A-II
Air Tractor	AT-502B	AT5T	6400	69	52.00	10.25	A-II
Air Tractor	AT-602	AT6T	12500	78	56.00	11.00	A-II
Air Tractor	AT-802	AT8T	16000	82	52.10	11.20	A-II
Airbus Industries	A300-600	A306	363760	132	147.08	55.25	C-IV
Airbus Industries	A300-600ST 	A3ST	310000	135	147.17	56.58	C-IV
Airbus Industries	A300B2	A30B	313055	131	147.08	54.25	C-IV
Airbus Industries	A300B4	A30B	378500	135	147.08	54.25	C-IV
Airbus Industries	A310	A310	361600	135	144.00	52.00	C-IV
Airbus Industries	A-310-300	A310	330693	125	144.10	52.30	C-IV
Airbus Industries	A318	A318	130075	138	111.90	41.20	C-III
Airbus Industries	A319	A319	141095	138	111.30	38.70	C-III
Airbus Industries	A320	A320	145505	138	111.30	39.10	C-III
Airbus Industries	A320	A320	162040	138	111.30	38.90	C-III
Airbus Industries	A321	A321	206000	138	111.83	38.58	C-III
Airbus Industries	A380	A388	1235000	145	261.30	78.96	D-VI
Airbus Industries	A-380-843F	A38F	1300800	145	261.65	79.30	D-VI
American Aviation	AA-1	AA1	1500	70	24.50	7.58	A-I
American Aviation	AA-5	AA5	2200	80	31.50	8.00	A-I
American Champion Aircraft	7EC	CH7A	1320	78	33.50	7.70	A-I
American Champion Aircraft	7ECA	CH7A	1750	88	33.50	7.70	A-I
American Champion Aircraft	7GCBC	CH7B	1800	87	34.50	7.70	A-I
American Champion Aircraft	8GCBC	BL8	2150	92	36.20	9.70	B-I
American Champion Aircraft	8KCAB	BL8	1950	90	32.00	7.70	A-I
Antonov	AN-12	AN12	121500	127	124.80	34.60	C-IV
Antonov	AN-124	A124	892871	124	240.50	69.17	C-VI
Antonov	AN-140	A140	47400	230	83.67	27.00	E-III
Antonov	AN-26		52920	121	95.80	28.10	C-III
Antonov	AN-72	AN72	66000	89	84.70	27.00	A-III
ATR	ATR		35605	105	80.07	25.05	B-III
ATR	ATR	AT72	44070	105	88.09	25.01	B-III
ATR	ATR		47400	105	88.09	25.01	B-III
ATR	ATR		47400	105	88.09	25.01	B-III
ATR	ATR		47400	105	88.09	25.01	B-III
ATR	ATR		47400	105	88.09	25.01	B-III
ATR	ATR		35605	105	80.07	25.05	B-III
ATR	ATR-42-200/300/320	AT43	33450	103	58.02	21.11	B-II
ATR	ATR-42-200/300/320	AT43	36817	104	80.58	24.92	B-III
ATR	ATR-42-400	AT44	35605	105	80.58	24.92	B-III
ATR	ATR-42-500	AT45	35605	105	80.42	24.92	B-III
ATR	ATR-72-200/210	AT72	47400	105	88.75	25.08	B-III
ATR	ATR-72-500	AT72	44070	105	88.75	25.01	B-III
BAC	1-11 200	BA11	79000	129	88.50	24.50	C-III
BAC	1-11 400	BA11	88500	137	88.50	24.50	C-III
BAC	1-11 475		98500	135	93.50	24.50	C-III
BAE	146-100	B461	84000	113	86.42	28.25	B-III
BAE	146-200	B462	93000	117	86.42	28.25	B-III
BAE	146-300	B463	97500	121	86.42	28.17	C-III
Beechcraft	18	BE18	9900	87	49.67	9.33	A-II
Beechcraft	24	BE24	2750	70	38.67	8.20	A-I
